numDepartement;numUniteUrbaine;nomUniteUrbaine
75;851;Paris
43;43202;Brioude
63;63102;La Bourboule
73;0;Zone rurale
73;73401;Albertville
69;451;Belleville
69;758;Lyon
21;21401;Beaune
35;35206;Acigné
35;35701;Rennes
35;35203;Cancale
34;34401;Agde
13;759;Marseille - Aix-en-Provence
13;13209;Carnoux-en-Provence
13;13303;Sausset-les-Pins - Carry-le-Rouet
29;29402;Fouesnant
29;29701;Brest
29;29104;Camaret-sur-Mer
29;29124;Carantec
81;81502;Albi
81;81304;Carmaux
56;56401;Auray
80;80601;Amiens
64;751;Bayonne (partie française)
36;36201;Le Blanc
36;36109;Buzançais
16;16601;Angoulême
16;16107;Barbezieux-Saint-Hilaire
45;0;Zone rurale
66;66401;Saint-Cyprien
66;66301;Canet-en-Roussillon
18;18501;Bourges
62;62502;Arras
62;752;Béthune
57;57701;Metz
68;68402;Thann - Cernay
93;851;Paris
52;52101;Bourbonne-les-Bains
31;31208;Auterive
31;31701;Toulouse
88;0;Zone rurale
88;88402;La Bresse
84;754;Avignon
54;54404;Pont-à-Mousson
50;50301;Avranches
83;757;Toulon
59;59208;Le Cateau-Cambrésis
30;0;Zone rurale
82;82103;Beaumont-de-Lomagne
49;49206;Beaupréau
87;87202;Bellac
78;851;Paris
91;851;Paris
44;44304;Pornic
44;44701;Nantes
33;33304;Biganos
33;0;Zone rurale
94;851;Paris
95;851;Paris
76;76302;Bolbec
40;40301;Capbreton
47;0;Zone rurale
53;0;Zone rurale
19;554;Brive-la-Gaillarde
46;0;Zone rurale
46;46401;Cahors
6;6701;Nice
12;364;Figeac
65;0;Zone rurale
85;85125;La Mothe-Achard
42;42204;Charlieu
25;0;Zone rurale
71;71105;Charolles
85;85123;La Châtaigneraie
44;44302;Châteaubriant
58;58101;Château-Chinon (Ville)
36;36501;Châteauroux
2;2401;Château-Thierry
74;74108;Abondance
92;851;Paris
35;0;Zone rurale
1;1124;Châtillon-sur-Chalaronne
2;2303;Chauny
58;58107;Clamecy
16;16401;Cognac
77;851;Paris
16;16102;Confolens
62;62504;Calais
58;58301;Cosne-Cours-sur-Loire
17;17118;Ars-en-Ré
60;0;Zone rurale
77;77402;Coulommiers
63;63701;Clermont-Ferrand
80;0;Zone rurale
60;60303;Crépy-en-Valois
34;34701;Montpellier
58;58201;Decize
26;26110;Die
4;4301;Digne-les-Bains
21;21701;Dijon
80;80204;Doullens
14;14302;Douvres-la-Délivrande - Luc-sur-Mer
28;28401;Dreux
88;88501;Épinal
12;12201;Espalion
91;91401;Étampes
87;0;Zone rurale
33;33701;Bordeaux
56;56109;Le Faouët
83;83301;Fayence
2;2107;La Ferté-Milon
42;753;Saint-Étienne
83;83108;Flassans-sur-Issole
77;77406;Fontainebleau
57;57501;Sarrebruck (ALL) - Forbach (partie française)
81;81303;Gaillac
34;34209;Ganges
5;5401;Gap
16;0;Zone rurale
88;88301;Gérardmer
74;0;Zone rurale
1;1301;Gex
8;8206;Givet
76;76701;Le Havre
46;46103;Gramat
59;59602;Dunkerque
70;70301;Gray
38;38701;Grenoble
56;0;Zone rurale
44;44122;Guémené-Penfao
35;35204;La Guerche-de-Bretagne
35;35207;Guipry
62;756;Douai - Lens
14;363;Honfleur
33;33103;Hourtin
31;0;Zone rurale
6;0;Zone rurale
63;63304;Issoire
56;56106;Josselin
84;0;Zone rurale
22;22301;Lamballe
29;29308;Landerneau
5;5104;Laragne-Montéglin
6;6108;Levens
59;59702;Lille (partie française)
76;76402;Lillebonne
14;14401;Lisieux
39;39401;Lons-le-Saunier
83;83303;Lorgues
22;22205;Loudéac
71;71301;Louhans
83;83307;Le Luc
70;70302;Lure
44;44202;Machecoul
72;72701;Le Mans
66;0;Zone rurale
32;0;Zone rurale
77;77501;Meaux
79;79203;Melle
80;453;Eu
60;60302;Méru
74;74601;Annecy
12;12401;Millau
32;32105;Mirande
29;29206;Moëlan-sur-Mer
24;354;Montpon-Ménestérol
47;47302;Fumel
77;0;Zone rurale
85;85302;Montaigu
45;45501;Montargis
25;25601;Montbéliard
63;0;Zone rurale
26;551;Montélimar
17;17112;Montendre
35;35208;Montfort-sur-Meu
1;758;Lyon
86;86202;Montmorillon
81;0;Zone rurale
62;62201;Montreuil
41;41204;Montrichard
76;755;Rouen
8;8102;Mouzon
40;0;Zone rurale
68;68701;Mulhouse
12;0;Zone rurale
11;11502;Narbonne
47;47301;Nérac
30;30601;Nîmes
28;28301;Nogent-le-Rotrou
10;10202;Nogent-sur-Seine
85;85131;Noirmoutier-en-l'Île
13;754;Avignon
60;60304;Noyon
26;26202;Nyons
67;67303;Obernai
64;64303;Oloron-Sainte-Marie
68;68116;Orbey
1;1401;Oyonnax
56;56105;Le Palais
79;79303;Parthenay
64;64601;Pau
84;84303;Pertuis
40;40204;Peyrehorade
15;0;Zone rurale
56;56216;Ploërmel
29;29113;Plougonvelin
86;86601;Poitiers
25;25401;Pontarlier
38;270;Pontcharra
40;40202;Pouillon
66;66205;Prades
46;46102;Prayssac
56;56208;Questembert
83;0;Zone rurale
53;53104;Renazé
35;35201;Retiers
66;66601;Perpignan
42;42502;Roanne
24;170;La Roche-Chalais - Saint-Aigulin
17;17601;La Rochelle
67;67304;La Broque
72;72302;Sablé-sur-Sarthe
83;83202;Salernes
21;0;Zone rurale
57;57302;Sarrebourg
9;9105;Saverdun
34;34502;Sète
11;11201;Sigean
30;30208;Sommières
23;23201;La Souterraine
41;41205;Saint-Aignan
59;59402;Saint-Amand-les-Eaux
18;18301;Saint-Amand-Montrond
82;0;Zone rurale
22;22501;Saint-Brieuc
33;33107;Saint-Ciers-sur-Gironde
39;39302;Saint-Claude
44;44205;Saint-Étienne-de-Montluc
89;0;Zone rurale
33;553;Bergerac
48;0;Zone rurale
50;50202;Saint-Hilaire-du-Harcouët
87;87106;Saint-Léonard-de-Noblat
49;49205;Saint-Macaire-en-Mauges
37;37109;Sainte-Maure-de-Touraine
54;54701;Nancy
44;44601;Saint-Nazaire
40;40401;Mont-de-Marsan
62;62209;Saint-Pol-sur-Ternoise
34;0;Zone rurale
43;43203;Sainte-Sigolène
65;65501;Tarbes
40;751;Bayonne (partie française)
51;0;Zone rurale
57;57601;Thionville
74;74501;Thonon-les-Bains
37;37701;Tours
4;0;Zone rurale
26;651;Valence
44;44212;Vallet
7;7110;Les Vans
82;82104;Verdun-sur-Garonne
27;27205;Verneuil-sur-Avre
27;27401;Vernon
38;38119;Villard-de-Lans
51;51301;Vitry-le-François
38;38303;Vizille
44;44119;Missillac
67;0;Zone rurale
67;67212;Wissembourg (partie française)
2A;0;Zone rurale
13;13101;Saintes-Maries-de-la-Mer
31;31109;Bessières
42;42105;Balbigny
59;59601;Maubeuge (partie française)
83;83502;Fréjus
47;47501;Agen
30;30210;Aigues-Mortes
47;47103;Aiguillon
2A;2A501;Ajaccio
61;461;Alençon
66;66204;Amélie-les-Bains-Palalda
28;361;Ézy-sur-Eure
74;652;Genève (SUI) - Annemasse (partie française)
19;19102;Argentat
79;0;Zone rurale
85;85108;Aubigny
18;18201;Aubigny-sur-Nère
23;23102;Aubusson
29;29213;Plouhinec - Audierne
35;35212;Bain-de-Bretagne
4;4106;Barcelonnette
49;49201;Baugé
60;60501;Beauvais
67;67210;Benfeld
62;62401;Berck
27;27301;Bernay
41;41501;Blois
84;84301;Bollène
42;42102;Bourg-Argental
37;37201;Bourgueil
35;35130;Bréal-sous-Montfort
85;85203;Bretignolles-sur-Mer
14;0;Zone rurale
67;67302;Brumath
26;26101;Buis-les-Baronnies
33;33121;Cadillac
14;14601;Caen
22;0;Zone rurale
59;59403;Cambrai
11;11501;Carcassonne
29;271;Carhaix-Plouguer
64;0;Zone rurale
81;81501;Castres
79;79204;Cerizay
85;85402;Challans
71;71501;Chalon-sur-Saône
74;74301;Chamonix-Mont-Blanc
60;60402;Chantilly
16;16103;Chasseneuil-sur-Bonnieure
72;72204;Château-du-Loir
28;28302;Châteaudun
37;37203;Château-Renault
86;86401;Châtellerault
21;21203;Châtillon-sur-Seine
52;52401;Chaumont
49;49210;Chemillé
50;50501;Cherbourg-Octeville
86;86113;Civray
55;55203;Commercy
50;50106;Condé-sur-Vire
54;54301;Jarny
50;50206;Coutances
79;79202;La Crèche
60;60601;Creil
70;0;Zone rurale
40;40402;Dax
62;62203;Desvres
76;76404;Dieppe
71;353;Digoin
35;458;Dinard
35;35131;Dol-de-Bretagne
32;32103;Eauze
19;19106;Égletons
5;5201;Embrun
51;51401;Épernay
22;22114;Erquy
11;0;Zone rurale
1;652;Genève (SUI) - Annemasse (partie française)
72;72301;La Ferté-Bernard
39;0;Zone rurale
13;13106;Fontvieille
95;95401;Fosses
76;76205;Gournay-en-Bray
74;74101;Le Grand-Bornand
13;13501;Salon-de-Provence
4;4101;Gréoux-les-Bains
38;0;Zone rurale
71;71204;Gueugnon
35;35213;Guichen
33;33501;La Teste-de-Buch - Arcachon
67;67501;Haguenau
59;59401;Hazebrouck
14;14402;Dives-sur-Mer
49;156;Ingrandes
36;36301;Issoudun
91;91402;Ballancourt-sur-Essonne
85;85121;Jard-sur-Mer
49;0;Zone rurale
54;454;Joeuf
89;89301;Joigny
17;17201;Jonzac
40;40101;Labouheyre
13;13213;Lambesc
41;41110;Lamotte-Beuvron
29;29301;Landivisiau
48;48102;Langogne
52;52202;Langres
33;33208;Lesparre-Médoc
44;44303;Saint-Julien-de-Concelles
85;85208;Luçon
58;0;Zone rurale
25;25109;Maîche
56;56112;Malestroit
72;72202;Mamers
48;48201;Marvejols
17;17101;Matha
15;15105;Mauriac
74;462;Sallanches
6;6501;Menton - Monaco (partie française)
1;1206;Meximieux
35;35127;La Mézière
1;0;Zone rurale
39;39102;Moirans-en-Montagne
35;35129;Montauban-de-Bretagne
21;21205;Montbard
80;80202;Montdidier
24;24104;Montignac
7;0;Zone rurale
53;53101;Montsûrs
40;40107;Morcenx
38;38302;Morestel
80;80117;Moreuil
39;39202;Morez
29;29403;Morlaix
74;74114;Morzine
73;73110;Moûtiers
68;68302;Munster
68;0;Zone rurale
1;1123;Nantua
77;77401;Nemours
45;45202;Fay-aux-Loges
86;86115;Neuville-de-Poitou
58;58501;Nevers
79;79501;Niort
5;0;Zone rurale
42;42101;Panissières
40;40109;Parentis-en-Born
33;33201;Pauillac
39;39107;Poligny
69;0;Zone rurale
29;29306;Pont-l'Abbé
11;11109;Quillan
22;22101;Quintin
88;266;Raon-l'Étape
43;0;Zone rurale
31;31209;Revel
24;24202;Ribérac
37;37101;Richelieu
16;16104;La Rochefoucauld
7;7402;Aubenas
16;16106;Ruffec
64;64107;Salies-de-Béarn
33;33204;Salles
74;74110;Samoëns
67;67125;Sarre-Union
67;67307;Saverne
49;49212;Segré
67;67306;Sélestat
60;60306;Senlis
28;28107;Senonches
89;89401;Sens
4;4204;Sisteron
46;46107;Souillac
40;40205;Soustons
67;67701;Strasbourg (partie française)
45;45302;Sully-sur-Loire
24;24203;Saint-Astier
88;88403;Saint-Dié-des-Vosges
26;26104;Saint-Donat-sur-l'Herbasse
31;31302;Saint-Gaudens
85;85301;Saint-Jean-de-Monts
42;0;Zone rurale
87;87301;Saint-Junien
60;60201;Saint-Just-en-Chaussée
35;35402;Saint-Malo
69;69105;Saint-Martin-en-Haut
73;73104;Saint-Michel-de-Maurienne
44;44211;Saint-Philbert-de-Grand-Lieu
14;14119;Saint-Pierre-sur-Dives
2;2501;Saint-Quentin
17;0;Zone rurale
40;40108;Saint-Sever
4;4401;Manosque
13;456;Beaucaire
59;59211;Templeuve
43;43102;Tence
88;88303;Le Thillot
24;24108;Thiviers
79;79302;Thouars
17;17301;La Tremblade
19;19401;Tulle
30;30301;Uzès
84;84203;Vaison-la-Romaine
59;59701;Valenciennes (partie française)
50;50205;Valognes
7;7102;Lamastre
2;2120;Vervins
5;5103;Veynes
86;0;Zone rurale
43;43201;Yssingeaux
1;1302;Ambérieu-en-Bugey
70;70401;Vesoul
18;18401;Vierzon
73;73601;Chambéry
1;1501;Bourg-en-Bresse
82;82501;Montauban
35;35216;Vern-sur-Seiche
80;80401;Abbeville
50;50203;Agon-Coutainville
61;61301;L'Aigle
85;85114;L'Aiguillon-sur-Mer
7;7401;Annonay
18;18101;Argent-sur-Sauldre
13;552;Arles
56;56102;Arzon
57;366;Esch-sur-Alzette (LUX) - Villerupt (partie française)
76;157;Aumale
21;21206;Auxonne
89;89203;Avallon
9;0;Zone rurale
31;31113;Bagnères-de-Luchon
61;61105;Bagnoles-de-l'Orne
12;12101;Baraqueville
83;83109;Barjols
55;55301;Bar-le-Duc
50;0;Zone rurale
2B;2B501;Bastia
33;33122;Bazas
73;73106;Beaufort
49;49204;Beaufort-en-Vallée
95;459;Persan - Beaumont-sur-Oise
1;1205;Belley
24;553;Bergerac
78;78205;Beynes
34;34501;Béziers
40;40302;Biscarrosse
54;54205;Blainville-sur-l'Eau
3;3102;Bourbon-l'Archambault
38;38116;Le Bourg-d'Oisans
59;59134;Bray-Dunes
5;5301;Briançon
83;83401;Brignoles
64;64203;Cambo-les-Bains
31;31204;Carbonne
50;50204;Carentan
56;56215;Carnac
47;47102;Casteljaloux
11;11302;Castelnaudary
82;82401;Castelsarrasin
82;82203;Caussade
51;51501;Châlons-en-Champagne
39;39301;Champagnole
44;44120;La Chapelle-Basse-Mer
58;254;La Charité-sur-Loire
8;8501;Charleville-Mézières
28;28501;Chartres
85;85403;Les Sables-d'Olonne
35;35217;Châteaugiron
53;53302;Château-Gontier
71;258;Chauffailles
86;86203;Chauvigny
71;71110;La Clayette
71;0;Zone rurale
74;74502;Cluses
88;88109;Contrexéville
83;83204;Carcès
69;69106;Cours-la-Ville
23;0;Zone rurale
12;12302;Decazeville
37;255;Descartes
22;22402;Dinan
1;1203;Divonne-les-Bains (partie française)
39;39402;Dole
26;26111;Donzère
29;29307;Douarnenez
74;74115;Douvaine
83;83501;Draguignan
43;43101;Dunières
27;27501;Évreux
53;53203;Évron
13;13207;Eyguières
76;76102;Fauville-en-Caux
45;45205;La Ferté-Saint-Aubin
46;364;Figeac
32;32201;Fleurance
76;76201;Forges-les-Eaux
35;35401;Fougères
17;17115;Fouras
73;73109;Modane
31;31202;Fronton
27;27302;Gaillon
27;359;Gisors
50;50402;Granville
81;81302;Graulhet
80;80207;Ham
56;56205;Inzinzac-Lochrist
56;56601;Lorient
32;32102;Lectoure
29;29303;Lesneven
33;33401;Libourne
35;35210;Liffré
14;14201;Hermanville-sur-Mer
37;37301;Loches
56;56214;Locminé
65;65302;Lourdes
72;72115;Le Lude
54;54206;Ludres
71;464;Mâcon
71;71109;Marcigny
47;455;Marmande
9;9104;Mazères
22;22103;Merdrignac
17;17402;Royan
40;40203;Mimizan
88;88205;Mirecourt
79;79105;Moncoutant
64;64302;Mourenx
37;37106;Monnaie
55;55103;Montmédy
73;73202;Montmélian
26;0;Zone rurale
25;25204;Morteau
15;15101;Murat
67;67401;Molsheim
56;56116;Muzillac
77;77208;Nangis
27;27201;Le Neubourg
62;62207;Neufchâtel-Hardelot
19;0;Zone rurale
45;45701;Orléans
9;9401;Pamiers
38;556;Vienne
57;57201;Phalsbourg
80;80106;Poix-de-Picardie
38;360;Le Pont-de-Beauvoisin
56;56303;Pontivy
44;44401;Saint-Brevin-les-Pins
2A;2A104;Propriano
77;77303;Provins
2B;2B101;Prunelli-di-Fiumorbo
83;83111;Puget-Ville
43;43401;Le Puy-en-Velay
67;67305;Reichshoffen - Niederbronn-les-Bains
88;88401;Remiremont
33;33206;La Réole
29;29305;Saint-Pol-de-Léon
80;80203;Roye
7;7111;Ruoms
61;61107;Sées
41;41111;Selles-sur-Cher
33;33104;Soulac-sur-Mer
67;67115;Soultz-sous-Forêts
17;17203;Surgères
12;12202;Saint-Affrique
72;72116;Saint-Calais
52;460;Saint-Dizier
49;49208;La Pommeraye
15;15201;Saint-Flour
73;167;Aoste
2;2109;Saint-Gobain
85;0;Zone rurale
17;17207;Saint-Jean-d'Angély
73;73301;Saint-Jean-de-Maurienne
64;64106;Saint-Jean-Pied-de-Port
44;44207;Saint-Joachim - Saint-Malo-de-Guersac
62;62501;Saint-Omer
26;26203;Saint-Paul-Trois-Châteaux
3;3201;Saint-Pourçain-sur-Sioule
13;13302;Saint-Rémy-de-Provence
83;83304;Saint-Tropez
76;76119;Saint-Valery-en-Caux
26;269;Saint-Vallier
87;87203;Saint-Yrieix-la-Perche
85;85204;Talmont-Saint-Hilaire
69;69302;Tarare
9;9201;Tarascon-sur-Ariège
2;2402;Tergnier
24;265;Terrasson-Lavilledieu
69;69203;Thizy
60;60502;Compiègne
59;756;Douai - Lens
54;54402;Toul
76;453;Eu
10;10601;Troyes
44;44206;La Turballe
73;73203;Ugine
68;68207;Ensisheim
27;27402;Louviers
82;82202;Valence
56;56501;Vannes
41;41401;Vendôme
1;1122;Villars-les-Dombes
54;366;Esch-sur-Alzette (LUX) - Villerupt (partie française)
35;35302;Vitré
2A;2A301;Porto-Vecchio
68;68501;Colmar
43;753;Saint-Étienne
36;0;Zone rurale
85;85206;Aizenay
80;80301;Albert
63;63203;Ambert
27;27207;Les Andelys
49;49701;Angers
84;84302;Apt
5;5101;L'Argentière-la-Bessée
36;36203;Argenton-sur-Creuse
59;59501;Armentières (partie française)
64;64105;Arudy
15;15401;Aurillac
65;65301;Bagnères-de-Bigorre
30;30401;Bagnols-sur-Cèze
34;34212;Baillargues
10;10201;Bar-sur-Aube
62;62111;Beaurainville
1;357;Bellegarde-sur-Valserine
73;73201;Aime
25;25602;Besançon
83;83206;Carnoules
35;35301;Betton
44;44213;Blain
33;33301;Blaye
42;42201;Boën
66;66201;Le Boulou
77;77116;Bray-sur-Seine
77;77306;Brie-Comte-Robert
24;0;Zone rurale
44;0;Zone rurale
76;76105;Caudebec-en-Caux
83;83207;Cavalaire-sur-Mer
31;31203;Cazères
34;34129;Cazouls-lès-Béziers
66;66302;Céret
52;52104;Chalindrey
60;459;Persan - Beaumont-sur-Oise
4;4203;Château-Arnoux-Saint-Auban
29;29204;Châteaulin
36;36202;La Châtre
37;37205;Chinon
13;757;Toulon
34;34213;Clermont-l'Hérault
35;35205;Combourg
29;29404;Concarneau
32;32203;Condom
2B;0;Zone rurale
80;80208;Corbie
2B;2B203;Corte
14;14118;Courseulles-sur-Mer
33;33114;Créon
26;26302;Crest
7;7105;Cruas
90;90301;Delle (partie française)
26;26109;Dieulefit
3;3105;Dompierre-sur-Besbre
38;161;Entre-deux-Guiers
28;355;Épernon
56;56217;Belz
14;14205;Falaise
76;76403;Fécamp
42;42203;Feurs
9;9301;Foix
4;4202;Forcalquier
59;59305;Fourmies
3;3202;Gannat
46;46105;Gourdon
31;31205;Grenade
68;68401;Guebwiller
56;56211;Guer
23;23301;Guéret
5;5102;Guillestre
2;2201;Guise
1;1120;Hauteville-Lompnes
50;50102;La Haye-du-Puits
85;85303;Les Herbiers
2;2302;Hirson
85;85132;L'Île-d'Yeu
68;68205;Kembs
33;33303;Langon
2;2403;Laon
81;81301;Lavaur
86;86102;Lencloître
11;11206;Lézignan-Corbières
54;54405;Longwy (partie française)
54;54403;Lunéville
17;17206;Marennes
53;53301;Mayenne
81;81401;Mazamet
48;48301;Mende
9;9103;Mirepoix
42;42401;Montbrison
71;71402;Montceau-les-Mines
51;51111;Montmirail
31;252;Montréjeau
69;69205;Mornant
61;61201;Mortagne-au-Perche
3;3401;Moulins
24;24204;Mussidan
76;76203;Neufchâtel-en-Bray
44;44209;Nort-sur-Erdre
41;41104;Nouan-le-Fuzelier
25;25110;Ornans
60;60204;Orry-la-Ville
14;14206;Ouistreham
71;71205;Paray-le-Monial
29;29401;Penmarch
24;24501;Périgueux
80;80209;Péronne
22;22403;Lannion
34;34215;Pézenas
70;70101;Plancher-les-Mines
22;251;Plestin-les-Grèves
29;29118;Plouescat
44;44214;Pontchâteau
14;14120;Pont-l'Évêque
60;60305;Pont-Sainte-Maxence
85;85201;Pouzauges
56;56201;Quiberon
29;29501;Quimper
29;29304;Quimperlé
10;10301;Romilly-sur-Seine
69;69303;L'Arbresle
17;17401;Saintes
24;24205;Sarlat-la-Canéda
21;21104;Saulieu
8;8401;Sedan
51;51202;Sézanne
55;55105;Stenay
78;78202;Saint-Arnoult-en-Yvelines
35;35121;Saint-Aubin-du-Cormier
57;57402;Saint-Avold (partie française)
46;46106;Saint-Céré
42;42501;Saint-Just-Saint-Rambert
85;85401;Saint-Hilaire-de-Riez
9;9203;Saint-Girons
38;38124;Saint-Laurent-du-Pont
38;38401;Saint-Marcellin
44;44101;Saint-Mars-la-Jaille
13;13301;Saint-Martin-de-Crau
83;83310;Sainte-Maxime
35;35202;Saint-Méen-le-Grand
80;80206;Saint-Léger-lès-Domart
64;64102;Saint-Palais
17;17204;Saint-Pierre-d'Oléron
81;81204;Saint-Sulpice
69;69103;Saint-Symphorien-sur-Coise
40;40303;Saint-Vincent-de-Tyrosse
7;551;Montélimar
61;61102;Le Theil
61;61104;Tinchebray
47;47201;Tonneins
89;89202;Tonnerre
84;84108;La Tour-d'Aigues
38;38304;La Tour-du-Pin
71;71202;Tournus
38;38206;Tullins
19;19103;Uzerche
77;77403;Montereau-Fault-Yonne
46;155;Vayrac
55;55401;Verdun
49;49125;Vihiers
31;31114;Villefranche-de-Lauragais
47;47401;Villeneuve-sur-Lot
14;14301;Vire
2;0;Zone rurale
89;89102;Saint-Julien-du-Sault
40;263;Aire-sur-l'Adour
30;30501;Alès
38;358;Allevard
68;68206;Altkirch
44;44301;Ancenis
63;63112;Saint-Georges-de-Mons
65;65204;Argelès-Gazost
61;61302;Argentan
35;35126;Argentré-du-Plessis
32;32401;Auch
14;14113;Aunay-sur-Odon
71;71302;Autun
89;89402;Auxerre
59;59209;Avesnes-sur-Helpe
54;54201;Baccarat
76;76401;Barentin
56;56204;Baud
25;25201;Baume-les-Dames
14;14303;Bayeux
45;45207;Beaugency
38;38202;Beaurepaire
34;34302;Bédarieux
90;555;Belfort
46;46104;Biars-sur-Cère
54;0;Zone rurale
2;2202;Bohain-en-Vermandois
19;19104;Bort-les-Orgues
62;62503;Boulogne-sur-Mer
71;71201;Bourbon-Lancy
23;23101;Bourganeuf
38;38501;Bourgoin-Jallieu
73;73204;Bourg-Saint-Maurice
79;79304;Bressuire
50;50110;Bricquebec
84;84111;Camaret-sur-Aigues
49;49109;Candé
13;13211;Cassis
59;59307;Caudry
49;49203;Chalonnes-sur-Loire
77;77404;Champagne-sur-Seine
85;85207;Chantonnay
35;35214;Châteaubourg
57;57113;Château-Salins
79;79101;Chef-Boutonne
7;7114;Le Cheylard
49;49501;Cholet
60;60401;Clermont
44;365;Clisson
71;71112;Cluny
83;83305;Cogolin
3;3203;Commentry
14;262;Condé-sur-Noireau
63;63115;Courpière
71;71401;Le Creusot
29;29212;Crozon
91;91302;Dourdan
53;53202;Ernée
67;67301;Erstein
22;22302;Binic
85;85129;La Ferrière
61;61202;La Ferté-Macé
72;72303;La Flèche
61;61401;Flers
86;86114;Fontaine-le-Comte
85;85304;Fontenay-le-Comte
61;61101;Gacé
86;86105;Gençay
21;21202;Genlis
45;45303;Gien
32;32101;Gimont
53;53105;Gorron
56;56115;Gourin
30;362;Le Grau-du-Roi
7;651;Valence
22;22401;Guingamp
40;40201;Hagetmau
64;64202;Hasparren
44;44121;Héric
29;0;Zone rurale
37;0;Zone rurale
14;14109;Isigny-sur-Mer
32;32202;L'Isle-Jourdain
35;35215;Janzé
81;81202;Labruguière
37;37108;Langeais
53;53501;Laval
83;83308;Bormes-les-Mimosas - Le Lavandou
9;9202;Lavelanet
87;87601;Limoges
11;11301;Limoux
34;34214;Lodève
26;26303;Livron-sur-Drôme
86;86204;Loudun
34;463;Lunel
70;70304;Luxeuil-les-Bains
79;79205;Mauléon
78;78301;Maule
64;64204;Mauléon-Licharre
59;752;Béthune
45;45209;Meung-sur-Loire
19;19101;Meymac
34;34301;Mèze
43;43301;Monistrol-sur-Loire
83;83205;Montauroux
3;3501;Montluçon
38;38204;La Mure
88;88204;Neufchâteau
24;24109;Nontron
44;44110;Nozay
21;21204;Nuits-Saint-Georges
64;64301;Orthez
22;22303;Paimpol
34;34206;Palavas-les-Flots
42;42108;Pélussin
54;54111;Piennes
83;83201;Pierrefeu-du-Var
26;26301;Pierrelatte
45;45301;Pithiviers
35;35116;Plélan-le-Grand
22;22115;Pléneuf-Val-André
17;17116;Pons
27;27303;Pont-Audemer
38;38402;Charvieu-Chavagneux
25;25203;Pont-de-Roide
30;30304;Pont-Saint-Esprit
72;0;Zone rurale
13;13214;Port-Saint-Louis-du-Rhône
7;7301;Privas
81;81203;Rabastens
35;452;Redon
51;51701;Reims
68;68124;Ribeauvillé
63;63401;Riom
15;15102;Riom-ès-Montagnes
17;17403;Rochefort
12;12402;Rodez
26;26501;Romans-sur-Isère
35;35112;Romillé
41;41301;Romorantin-Lanthenay
22;22110;Rostrenen
74;74302;Rumilly
57;57401;Sarreguemines (partie française)
49;49401;Saumur
44;44215;Savenay
21;21109;Semur-en-Auxois
74;164;Seyssel
2;2404;Soissons
59;0;Zone rurale
33;33306;Saint-André-de-Cubzac
48;48103;Saint-Chély-d'Apcher
18;18202;Saint-Florent-sur-Cher
38;38123;Saint-Jean-de-Bournay
43;43103;Saint-Just-Malmont
50;50401;Saint-Lô
68;68403;Bâle (SUI) - Saint-Louis (partie française)
83;83309;Saint-Maximin-la-Sainte-Baume
13;0;Zone rurale
29;29210;Saint-Renan
18;0;Zone rurale
63;63303;Thiers
74;74205;Thônes
89;89101;Toucy
7;457;Tournon-sur-Rhône
85;85104;La Tranche-sur-Mer
19;19301;Ussel
25;25114;Valdahon
84;84204;Valréas
76;0;Zone rurale
65;65201;Vic-en-Bigorre
32;32104;Vic-Fezensac
30;30209;Le Vigan
50;50201;Villedieu-les-Poêles
38;38403;Villefontaine
12;12301;Villefranche-de-Rouergue
2;2301;Villers-Cotterêts
83;83112;Vinon-sur-Verdon
88;88202;Vittel
8;8106;Vouziers
15;15103;Ydes
76;76301;Yvetot
33;33305;Andernos-les-Bains
85;85501;La Roche-sur-Yon
3;3502;Vichy
